locus	product	gene 	main role	subrole	regulation	developmental phenotype	core sporulation gene	reference
MXAN5597	cell division protein FtsZ	ftsZ	Cellular processes	Cell division	down			
MXAN1460	FtsK/SpoIIIE family protein		Cellular processes	Cell division	NI			
MXAN0635	ParA family protein		Cellular processes	Cell division	not reg			
MXAN1986	maf protein	maf	Cellular processes	Cell division	not reg			
MXAN2642	maf protein	maf	Cellular processes	Cell division	not reg			
MXAN2898	"ATP-dependent metalloprotease, FtsH family"		Cellular processes	Cell division	not reg			
MXAN3112	cell-division initiation protein DivIVA	divIVA	Cellular processes	Cell division	not reg			
MXAN3840	segregation and condensation protein B	scpB	Cellular processes	Cell division	not reg			
MXAN3920	putative sporulation initiation inhibitor protein		Cellular processes	Cell division	not reg			
MXAN4359	ATP-dependent metalloprotease FtsH	ftsH	Cellular processes	Cell division	not reg			
MXAN5599	cell division protein FtsA	ftsA	Cellular processes	Cell division	not reg			
MXAN5600	cell division protein FtsQ		Cellular processes	Cell division	not reg			
MXAN5605	"cell cycle protein, FtsW/RodA/SpoVE family"		Cellular processes	Cell division	not reg			
MXAN5815	putative sporulation initiation inhibitor protein		Cellular processes	Cell division	not reg			
MXAN7476	ParB family protein		Cellular processes	Cell division	not reg			
MXAN7477	ParA family protein		Cellular processes	Cell division	not reg			
MXAN3704	cell division protein FtsB		Cellular processes	Cell division	NR			
MXAN4333	ATP-dependent metalloprotease FtsH	ftsH	Cellular processes	Cell division	NR			
MXAN0415	twitching mobility protein	pilT	Cellular processes	Chemotaxis and motility	down			
MXAN1925	gliding motility protein MglA	mglA	Cellular processes	Chemotaxis and motility	down			
MXAN1926	gliding motility protein MglB	mglB	Cellular processes	Chemotaxis and motility	down			
MXAN2538	adventurous gliding motility protein AgmO	agmO	Cellular processes	Chemotaxis and motility	down			
MXAN3060	adventurous gliding motility protein CglB	cglB	Cellular processes	Chemotaxis and motility	down			
MXAN5151	chemotaxis coupling protein CheW	cheW3	Cellular processes	Chemotaxis and motility	down			
MXAN5783	pilin	pilA	Cellular processes	Chemotaxis and motility	down			
MXAN5787	twitching motility protein PilT	pilT	Cellular processes	Chemotaxis and motility	down			
MXAN6027	methyl-accepting chemotaxis protein	Mcp5	Cellular processes	Chemotaxis and motility	down			
MXAN6033	putative chemotaxis protein CheY	CheY5	Cellular processes	Chemotaxis and motility	down			
MXAN6694	fibril biogenesis regulator DifC	difC	Cellular processes	Chemotaxis and motility	down			
MXAN6696	methyl-accepting chemotaxis protein DifA	difA	Cellular processes	Chemotaxis and motility	down			
MXAN7037	putative chemotaxis MotB protein		Cellular processes	Chemotaxis and motility	down			
MXAN1414	methyl-accepting chemotaxis protein		Cellular processes	Chemotaxis and motility	NI			
MXAN0174	methyl-accepting chemotaxis protein		Cellular processes	Chemotaxis and motility	not reg			
MXAN0227	methyl-accepting chemotaxis protein		Cellular processes	Chemotaxis and motility	not reg			
MXAN0855	putative chemotaxis protein MotB		Cellular processes	Chemotaxis and motility	not reg			
MXAN0878	methyl-accepting chemotaxis protein		Cellular processes	Chemotaxis and motility	not reg			
MXAN1248	methyl-accepting chemotaxis protein		Cellular processes	Chemotaxis and motility	not reg			
MXAN1673	hypothetical adventurous gliding motility protein AgmN	agmN	Cellular processes	Chemotaxis and motility	not reg			
MXAN1995	twitching mobility protein	pilT	Cellular processes	Chemotaxis and motility	not reg			
MXAN2244	putative methyl-accepting chemotaxis protein		Cellular processes	Chemotaxis and motility	not reg			
MXAN2681	chemotaxis coupling protein CheW	cheW4A	Cellular processes	Chemotaxis and motility	not reg			
MXAN2682	chemotaxis protein methyltransferase CheR	cheR4	Cellular processes	Chemotaxis and motility	not reg			
MXAN2683	methyl accepting chemotaxis protein	mcp4	Cellular processes	Chemotaxis and motility	not reg			
MXAN2685	chemotaxis protein CheW	cheW4B	Cellular processes	Chemotaxis and motility	not reg			
MXAN2735	methyl-accepting chemotaxis protein		Cellular processes	Chemotaxis and motility	not reg			
MXAN2915	putative adventurous gliding motility protein		Cellular processes	Chemotaxis and motility	not reg			
MXAN2923	adventurous gliding motility protein AgmQ	agmQ	Cellular processes	Chemotaxis and motility	not reg			
MXAN3084	social gliding motility protein Tgl	tgl	Cellular processes	Chemotaxis and motility	not reg			
MXAN3453	methyl-accepting chemotaxis protein (MCP) signaling domain		Cellular processes	Chemotaxis and motility	not reg			
MXAN3502	adventurous gliding motility protein AgmI	agmI	Cellular processes	Chemotaxis and motility	not reg			
MXAN3668	methyl accepting chemotaxis protein		Cellular processes	Chemotaxis and motility	not reg			
MXAN3754	putative methyl-accepting chemotaxis protein		Cellular processes	Chemotaxis and motility	not reg			
MXAN4139	protein-glutatmate methylesterase FrzG	frzG	Cellular processes	Chemotaxis and motility	not reg			
MXAN4142	frizzy aggegation protein B	frzB	Cellular processes	Chemotaxis and motility	not reg			
MXAN4143	frizzy aggregation protein A	frzA	Cellular processes	Chemotaxis and motility	not reg			
MXAN4751	chemotaxis protein CheY	cheY8B	Cellular processes	Chemotaxis and motility	not reg			
MXAN4752	protein-glutamate methylesterase	cheB8	Cellular processes	Chemotaxis and motility	not reg			
MXAN4753	chemotaxis protein methyltransferase CheR	cheR8	Cellular processes	Chemotaxis and motility	not reg			
MXAN4756	chemotaxis protein CheW	cheW8B	Cellular processes	Chemotaxis and motility	not reg			
MXAN4757	putative chemotaxis protein CheW	cheW8A	Cellular processes	Chemotaxis and motility	not reg			
MXAN4758	chemotaxis protein CheA	cheA8	Cellular processes	Chemotaxis and motility	not reg			
MXAN4759	chemotaxis protein CheY	cheY8A	Cellular processes	Chemotaxis and motility	not reg			
MXAN4862	adventurous gliding motility protein AgmX	agmX	Cellular processes	Chemotaxis and motility	not reg			
MXAN4863	adventurous gliding motility protein AgmK	agmK	Cellular processes	Chemotaxis and motility	not reg			
MXAN4869	adventurous gliding motility protein AglT	aglT	Cellular processes	Chemotaxis and motility	not reg			
MXAN5144	chemotaxis protein methyltransferase CheR	cheR3	Cellular processes	Chemotaxis and motility	not reg			
MXAN5148	chemoreceptor McP2	mcP2 mcp3B	Cellular processes	Chemotaxis and motility	not reg			
MXAN5646	putative type III secretion system protein		Cellular processes	Chemotaxis and motility	not reg			
MXAN6028	putative protein-glutamate methylesterase CheB	cheB5	Cellular processes	Chemotaxis and motility	not reg			
MXAN6031	putative chemotaxis protein methyltransferase CheR	cheR5	Cellular processes	Chemotaxis and motility	not reg			
MXAN6519	adventurous gliding motility protein AgmG	agmG	Cellular processes	Chemotaxis and motility	not reg			
MXAN6607	hypothetical adventurous gliding motility protein AgmT	agmT	Cellular processes	Chemotaxis and motility	not reg			
MXAN6692	histidine kinase DifE	difE	Cellular processes	Chemotaxis and motility	not reg			
MXAN6703	gliding motility protein		Cellular processes	Chemotaxis and motility	not reg			
MXAN6705	twitching motility protein		Cellular processes	Chemotaxis and motility	not reg			
MXAN6706	twitching motility protein PilT	pilT	Cellular processes	Chemotaxis and motility	not reg			
MXAN6938	putative methyl-accepting chemotaxis protein		Cellular processes	Chemotaxis and motility	not reg			
MXAN6947	"putative chemotaxis protein, CheW"	cheW6A	Cellular processes	Chemotaxis and motility	not reg			
MXAN6948	putative chemotaxis protein methyltransferase CheR	cheR6	Cellular processes	Chemotaxis and motility	not reg			
MXAN6949	putative chemotaxis protein CheW	cheW6B	Cellular processes	Chemotaxis and motility	not reg			
MXAN6952	protein-glutamate methylesterase	cheB6	Cellular processes	Chemotaxis and motility	not reg			
MXAN6964	putative chemotaxis protein CheA	cheA7	Cellular processes	Chemotaxis and motility	not reg			
MXAN7103	"CheR methyltransferase, SAM binding domain"	cheR	Cellular processes	Chemotaxis and motility	not reg			
MXAN5149	chemoreceptor McP1	mcP1 mcp3A	Cellular processes	Chemotaxis and motility	up1			
MXAN6860	adventurous gliding motility protein AglS	aglS	Cellular processes	Chemotaxis and motility	up1			
MXAN6950	methyl-accepting chemotaxis protein	mcp6	Cellular processes	Chemotaxis and motility	up1			
MXAN6959	protein-glutamate methylesterase	cheB	Cellular processes	Chemotaxis and motility	up1			
MXAN6962	methyl-accepting chemotaxis protein	mcp7	Cellular processes	Chemotaxis and motility	up1			
MXAN6963	putative chemotaxis protein CheW	cheW7	Cellular processes	Chemotaxis and motility	up1			
MXAN6965	putative chemotaxis protein CheY	cheY7	Cellular processes	Chemotaxis and motility	up1			
MXAN6259	adventurous gliding motility protein AgmJ	agmJ	Cellular processes	Chemotaxis and motility	up2			
MXAN6960	chemotaxis protein methyltransferase CheR	cheR7	Cellular processes	Chemotaxis and motility	up2			
MXAN0575	putative arsenate reductase		Cellular processes	Detoxification	down			
MXAN0655	organic hydroperoxide resistance protein	ohr	Cellular processes	Detoxification	not reg			
MXAN1563	putative alkyl hydroperoxide reductase D		Cellular processes	Detoxification	not reg			
MXAN1564	alkyl hydroperoxide reductase C	ahpC	Cellular processes	Detoxification	not reg			
MXAN1644	putative epoxide hydrolase		Cellular processes	Detoxification	not reg			
MXAN2389	glutathione peroxidase family protein		Cellular processes	Detoxification	not reg			
MXAN2708	putative organic solvent tolerance protein		Cellular processes	Detoxification	not reg			
MXAN3126	putative arsenate reductase		Cellular processes	Detoxification	not reg			
MXAN3420	multicopper oxidase	cumA	Cellular processes	Detoxification	not reg			
MXAN4874	divalent ion tolerance protein	cutA	Cellular processes	Detoxification	not reg			
MXAN5862	"superoxide dismutase, Cu-Zn"	sodC	Cellular processes	Detoxification	not reg			
MXAN6536	"antioxidant, AhpC/Tsa family"		Cellular processes	Detoxification	not reg			
MXAN7090	glutathione peroxidase family protein		Cellular processes	Detoxification	not reg			
MXAN7093	S-formylglutathione hydrolase	fghA	Cellular processes	Detoxification	not reg			
MXAN4389	catalase KatB	katB	Cellular processes	Detoxification	up1			
MXAN6496	thiol peroxidase	tpx	Cellular processes	Detoxification	up1			
MXAN4826	"superoxide dismutase, Fe"	sodB	Cellular processes	Detoxification	up2			
MXAN6188	catalase HPII	katE	Cellular processes	Detoxification	up2			
MXAN1998	putative competence lipoprotein ComL		Cellular processes	DNA transformation	not reg			
MXAN3467	comE protein	comE	Cellular processes	DNA transformation	not reg			
MXAN6588	competence protein comEA		Cellular processes	DNA transformation	not reg			
MXAN2626	DNA internalization-related competence protein ComEC/Rec2		Cellular processes	DNA transformation	up2			
MXAN1551	"gas vesicle protein, GvpL/GvpF family"		Cellular processes	Other	not reg			
MXAN2385	glucan biosynthesis protein D	mdoG	Cellular processes	Other	not reg			
MXAN2765	"gas vesicle protein, GvpA family"		Cellular processes	Other	not reg			
MXAN2766	putative gas vesicle protein GvpK		Cellular processes	Other	not reg			
MXAN2767	"gas vesicle protein, GvpA family"		Cellular processes	Other	not reg			
MXAN2768	putative gas vesicle protein GvpG		Cellular processes	Other	not reg			
MXAN2769	"gas vesicle protein, GvpL/GvpF family"		Cellular processes	Other	not reg			
MXAN2771	"gas vesicle protein, GvpL/GvpF family"		Cellular processes	Other	not reg			
MXAN2772	"gas vesicle protein, GvpL/GvpF family"		Cellular processes	Other	not reg			
MXAN5208	"SocA oxidoreductase, short chain dehydrogenase/reductase family"	socA	Cellular processes	Other	not reg			
MXAN5659	putative batE protein		Cellular processes	Other	not reg			
MXAN5660	putative batD protein		Cellular processes	Other	not reg			
MXAN5661	putative batC protein		Cellular processes	Other	not reg			
MXAN5662	batB protein	batB	Cellular processes	Other	not reg			
MXAN5663	batA protein	batA	Cellular processes	Other	not reg			
MXAN6311	ssnA protein	ssnA	Cellular processes	Other	not reg			
MXAN7355	vegetative protein		Cellular processes	Other	not reg			
MXAN7401	vegetative protein	vegA	Cellular processes	Other	not reg			
MXAN3496	vegetative protein		Cellular processes	Other	NR			
MXAN7061	myxobacterial hemagglutinin	mbhA	Cellular processes	Other	NR			
MXAN2770	gas vesicle synthesis protein GvpA	gvpA	Cellular processes	Other	up1			
MXAN1209	virulence-associated protein E domain protein		Cellular processes	Pathogenesis	not reg			
MXAN1639	CDP-tyvelose-2-epimerase	rfbE	Cellular processes	Pathogenesis	not reg			
MXAN3882	spore coat protein domain protein		Cellular processes	Sporulation and germination	not reg			
MXAN5430	development-specific protein S	ops	Cellular processes	Sporulation and germination	up2			
MXAN5432	development-specific protein S	tps	Cellular processes	Sporulation and germination	up2			
MXAN1285	tryptophan halogenase		Cellular processes	Toxin production and resistance	down			
MXAN2906	penicillin acylase family protein		Cellular processes	Toxin production and resistance	down			
MXAN3488	putative antibiotic biosynthesis protein		Cellular processes	Toxin production and resistance	down			
MXAN5758	isopenicillin N epimerase	cefD	Cellular processes	Toxin production and resistance	down			
MXAN0104	aminoglycoside phosphotransferase family protein		Cellular processes	Toxin production and resistance	not reg			
MXAN0300	"glycosyltransferase, MGT family"		Cellular processes	Toxin production and resistance	not reg			
MXAN0826	erythromycin esterase family protein		Cellular processes	Toxin production and resistance	not reg			
MXAN0996	tryptophan halogenase		Cellular processes	Toxin production and resistance	not reg			
MXAN1911	beta-lactamase		Cellular processes	Toxin production and resistance	not reg			
MXAN2136	beta-lactamase		Cellular processes	Toxin production and resistance	not reg			
MXAN2150	beta-lactamase		Cellular processes	Toxin production and resistance	not reg			
MXAN2321	beta-lactamase		Cellular processes	Toxin production and resistance	not reg			
MXAN2857	putative lantibiotic modification protein		Cellular processes	Toxin production and resistance	not reg			
MXAN3277	"putative peroxidase, selenocysteine-containing"		Cellular processes	Toxin production and resistance	not reg			
MXAN3933	mixed type I polyketide synthase - peptide synthetase		Cellular processes	Toxin production and resistance	not reg			
MXAN3945	polyketide TA biosynthesis protein TaF	taF	Cellular processes	Toxin production and resistance	not reg			
MXAN3948	polyketide TA biosynthesis protein TaC	taC	Cellular processes	Toxin production and resistance	not reg			
MXAN3950	NusG-like protein	taA	Cellular processes	Toxin production and resistance	not reg			
MXAN4410	cephalosporin hydroxylase family protein		Cellular processes	Toxin production and resistance	not reg			
MXAN4416	cephalosporin hydroxylase family protein		Cellular processes	Toxin production and resistance	not reg			
MXAN4642	hemolysin A		Cellular processes	Toxin production and resistance	not reg			
MXAN5519	beta-lactamase		Cellular processes	Toxin production and resistance	not reg			
MXAN5546	"channel protein, hemolysin III family"		Cellular processes	Toxin production and resistance	not reg			
MXAN6450	beta-lactamase		Cellular processes	Toxin production and resistance	not reg			
MXAN6514	putative undecaprenol kinase		Cellular processes	Toxin production and resistance	not reg			
MXAN7171	beta lactamase family protein		Cellular processes	Toxin production and resistance	not reg			
MXAN0593	"glycosyltransferase, MGT family"		Cellular processes	Toxin production and resistance	NR			
MXAN1698	putative aminoglycoside-3'-adenylyltransferase		Cellular processes	Toxin production and resistance	NR			
MXAN2364	beta-lactamase		Cellular processes	Toxin production and resistance	up2			
MXAN3156	"channel protein, hemolysin III family"		Cellular processes	Toxin production and resistance	up2			
MXAN6409	putative beta-lactamase		Cellular processes	Toxin production and resistance	up2			
MXAN1386	"glucosamine--fructose-6-phosphate aminotransferase, isomerizing"	glmS	Central intermediary metabolism	Amino sugars	NI			
MXAN0501	D-fructose-6-phosphate amidotransferase	glmS	Central intermediary metabolism	Amino sugars	NR			
MXAN6371	glucosamine-6-phosphate isomerase	nagB	Central intermediary metabolism	Amino sugars	up1			
MXAN5630	glutamine synthetase family protein		Central intermediary metabolism	Nitrogen metabolism	NR			
MXAN6517	S-adenosylmethionine synthetase	metK	Central intermediary metabolism	One-carbon metabolism	not reg			
MXAN2978	"5,10-methenyltetrahydrofolate synthetase"		Central intermediary metabolism	One-carbon metabolism	up1			
MXAN0683	cytochrome P450 family protein		Central intermediary metabolism	Other	down			
MXAN1743	cytochrome P450 family protein		Central intermediary metabolism	Other	down			
MXAN2264	"methylmalonyl-CoA mutase, beta subunit"	mutA	Central intermediary metabolism	Other	down			
MXAN4305	amino acid adenyltransferase		Central intermediary metabolism	Other	down			
MXAN6122	glutathione S-transferase	gst	Central intermediary metabolism	Other	down			
MXAN1389	putative alkaline phosphatase		Central intermediary metabolism	Other	NI			
MXAN1427	putative glutathione S-transferase		Central intermediary metabolism	Other	NI			
MXAN0175	formate--tetrahydrofolate ligase	fhs	Central intermediary metabolism	Other	not reg			
MXAN2263	methylmalonyl-CoA mutase	mutB	Central intermediary metabolism	Other	not reg			
MXAN2983	putative cysteine desulfurase		Central intermediary metabolism	Other	not reg			
MXAN3337	NAD-dependent deacetylase		Central intermediary metabolism	Other	not reg			
MXAN3623	putative glutathione S-transferase		Central intermediary metabolism	Other	not reg			
MXAN3943	cytochrome P450 family protein		Central intermediary metabolism	Other	not reg			
MXAN4127	cytochrome P450 family protein		Central intermediary metabolism	Other	not reg			
MXAN4267	hydroxymethylglutaryl-CoA synthase	mvaS	Central intermediary metabolism	Other	not reg			
MXAN4783	carbonic anhydrase	cynT	Central intermediary metabolism	Other	not reg			
MXAN5001	putative cysteine desulfurase		Central intermediary metabolism	Other	not reg			
MXAN5017	putative phosphomevalonate kinase		Central intermediary metabolism	Other	not reg			
MXAN5018	diphosphomevalonate decarboxylase	mvaD	Central intermediary metabolism	Other	not reg			
MXAN5019	mevalonate kinase	mvk	Central intermediary metabolism	Other	not reg			
MXAN5679	putative heme oxygenase		Central intermediary metabolism	Other	not reg			
MXAN7298	cytochrome P450 family protein		Central intermediary metabolism	Other	not reg			
MXAN0925	putative 4-oxalocrotonate decarboxylase		Central intermediary metabolism	Other	NR			
MXAN4322	thiopurine S-methyltransferase		Central intermediary metabolism	Other	NR			
MXAN4919	cytochrome P450 family protein		Central intermediary metabolism	Other	NR			
MXAN5407	choloylglycine hydrolase family protein		Central intermediary metabolism	Other	NR			
MXAN6372	6-aminohexanoate-cyclic-dimer hydrolase	nylA	Central intermediary metabolism	Other	NR			
MXAN0617	putative carbonic anhydrase		Central intermediary metabolism	Other	up1			
MXAN2304	cytochrome P450 family protein		Central intermediary metabolism	Other	up1			
MXAN5577	inorganic pyrophosphatase	ppa	Central intermediary metabolism	Phosphorus compounds	down			
MXAN5326	putative phytase		Central intermediary metabolism	Phosphorus compounds	not reg			
MXAN0056	polyphosphate kinase	ppk	Central intermediary metabolism	Phosphorus compounds	up1			
MXAN0862	inorganic pyrophosphatase	ppa	Central intermediary metabolism	Phosphorus compounds	up1			
MXAN2742	arginine decarboxylase	speA	Central intermediary metabolism	Polyamine biosynthesis	down			
MXAN1183	spermidine synthase		Central intermediary metabolism	Polyamine biosynthesis	not reg			
MXAN4431	putative agmatinase		Central intermediary metabolism	Polyamine biosynthesis	not reg			
MXAN5122	spermine/spermidine synthase family protein		Central intermediary metabolism	Polyamine biosynthesis	not reg			
MXAN4064	putative adenylylsulfate kinase		Central intermediary metabolism	Sulfur metabolism	down			
MXAN1123	putative S-adenosyl-L-methionine: L-methionine S-methyltransferase		Central intermediary metabolism	Sulfur metabolism	not reg			
MXAN2334	"sulfite reductase (NADPH) hemoprotein, beta-component"	cysI	Central intermediary metabolism	Sulfur metabolism	not reg			
MXAN2336	"sulfate adenylytransferase, large subunit"	cysN	Central intermediary metabolism	Sulfur metabolism	not reg			
MXAN2337	"sulfate adenylyltransferase, small subunit"	cysD	Central intermediary metabolism	Sulfur metabolism	not reg			
MXAN2369	"putative 3'(2'),5'-bisphosphate nucleotidase"		Central intermediary metabolism	Sulfur metabolism	not reg			
MXAN3487	adenylylsulfate kinase	cysC	Central intermediary metabolism	Sulfur metabolism	not reg			
MXAN2340	"putative adenylylsulfate reductase, thioredoxin dependent"		Central intermediary metabolism	Sulfur metabolism	NR			
MXAN2335	"sulfite reductase [NADPH] flavoprotein, alpha-component"	cysJ	Central intermediary metabolism	Sulfur metabolism	up2			
MXAN0278	"mercuric reductase, truncated"		Disrupted reading frame	Detoxification |  |	up2			
MXAN5971	"DNA gyrase, B subunit, truncated"		Disrupted reading frame	"DNA replication, recombination, and repair |"	not reg			
MXAN1199	"competence protein F, truncated"		Disrupted reading frame	DNA transformation	not reg			
MXAN2101	"transposase, IS66 family, truncated"		Disrupted reading frame	Mobile and extrachromosomal element functions: Transposon functions	NI			
MXAN2821	"transposase, IS3 family, internal deletion"		Disrupted reading frame	Mobile and extrachromosomal element functions: Transposon functions	NI			
MXAN5431	"transposase, IS66 family, truncated"		Disrupted reading frame	Mobile and extrachromosomal element functions: Transposon functions	NI			
MXAN6676	"transposase orf2, IS66 family, internal deletion"		Disrupted reading frame	Mobile and extrachromosomal element functions: Transposon functions	NI			
MXAN0006	"peptidase, M16 (pitrilysin) family, authentic frameshift"		Disrupted reading frame	"Protein fate: Degradation of proteins, peptides, and glycopeptides"	NI			
MXAN0234	"actD protein, degenerate"		Disrupted reading frame	Regulatory functions: Other	NI			
MXAN0187	"fibril protein, degenerate"		Disrupted reading frame		NI			
MXAN0782	"conserved hypothetical protein, authentic frameshift"		Disrupted reading frame		NI			
MXAN1064	"oxidoreductase, short chain dehydrogenase/reductase family, degenerate"		Disrupted reading frame		NI			
MXAN1180	"S-adenosylmethionine decarboxylase, fragment"		Disrupted reading frame		NI			
MXAN1253	"chitinase, degenerate"		Disrupted reading frame		NI			
MXAN1694	conserved hypothetical protein		Disrupted reading frame		NI			
MXAN1730	"putative transposase, degenerate"		Disrupted reading frame		NI			
MXAN1779	"putative transposase, degenerate"		Disrupted reading frame		NI			
MXAN1798	"transposase orfA, IS3 family, authentic point mutation"		Disrupted reading frame		NI			
MXAN1799	"transposase, IS5 family, degenerate"		Disrupted reading frame		NI			
MXAN1958	"hydrolase, NUDIX family, authentic point mutation"		Disrupted reading frame		NI			
MXAN2104	"transposase orfA, IS3 family, authentic frameshift"		Disrupted reading frame		NI			
MXAN2116	"sensor histidine kinase, authentic frameshift"		Disrupted reading frame		NI			
MXAN2121	"putative transposase, degenerate"		Disrupted reading frame		NI			
MXAN2135	"putative transposase, degenerate"		Disrupted reading frame		NI			
MXAN2197	"transposase, IS630 family, degenerate"		Disrupted reading frame		NI			
MXAN2214	"putative transposase, degenerate"		Disrupted reading frame		NI			
MXAN2300	"MerR family protein, degenerate"		Disrupted reading frame		NI			
MXAN3536	"adventurous gliding motility protein AgmZ, authentic frameshift"	agmZ	Disrupted reading frame		NI			
MXAN3616	"putative transposase, degenerate"		Disrupted reading frame		NI			
MXAN3722	"Ser/Thr protein phosphatase family protein, authentic frameshift"		Disrupted reading frame		NI			
MXAN3858	"NADH-ubiquinone/plastoquinone oxidoreductase family protein, authentic frameshift"		Disrupted reading frame		NI			
MXAN4121	"peptidase, M38 (beta-aspartyl dipeptidase) family, degenerate"		Disrupted reading frame		NI			
MXAN4338	"serine/threonine-protein kinase, degenerate"		Disrupted reading frame		NI			
MXAN4403	"non-ribosomal peptide synthetase, degenerate"		Disrupted reading frame		NI			
MXAN4474	"transposase OrfA, IS3 family, authentic frameshift"		Disrupted reading frame		NI			
MXAN4512	"transcriptional regulator, LysR family, degenerate"		Disrupted reading frame		NI			
MXAN4850	"transposase orfB, IS3 family"		Disrupted reading frame		NI			
MXAN4865	"adventurous gliding motility protein AgmV, authentic frameshift"	'agmV	Disrupted reading frame		NI			
MXAN5060	"putative transposase, degenerate"		Disrupted reading frame		NI			
MXAN5438	"transposase, IS30 family, internal deletion"		Disrupted reading frame		NI			
MXAN5534	"transposase, IS4 family, degenerate"		Disrupted reading frame		NI			
MXAN5536	"transposase orfB, IS3 family, authentic frameshift"		Disrupted reading frame		NI			
MXAN5963	"major facilitator family transporter, authentic point mutation"		Disrupted reading frame		NI			
MXAN6131	"putative transposase, degenerate"		Disrupted reading frame		NI			
MXAN6137	"putative transposase, degenerate"		Disrupted reading frame		NI			
MXAN6232	"transposase, IS630 family, internal deletion"		Disrupted reading frame		NI			
MXAN6990	"oxidoreductase, short chain dehydrogenase/reductase family, degenerate"		Disrupted reading frame		NI			
MXAN2119	"polyphosphate kinase 2, internal deletion"		Disrupted reading frame		not reg			
MXAN0727	"DNA-binding response regulator, LuxR family, authentic point mutation"		Disrupted reading frame		NR			
MXAN2828	"transposase, IS66 family, truncated"		Disrupted reading frame | Mobile and extrachromosomal element functions	 | Transposon functions	not reg			
MXAN5154	"putative transposase, truncated"		Disrupted reading frame | Mobile and extrachromosomal element functions	 | Transposon functions	not reg			
MXAN6235	"transposase, IS630 family, truncated"		Disrupted reading frame | Mobile and extrachromosomal element functions	 | Transposon functions	not reg			
MXAN2115	"transposition helper protein, IS21 family, truncated"		Disrupted reading frame | Mobile and extrachromosomal element functions	 | Transposon functions	NR			
MXAN1434	DNA-binding protein HU	hup	DNA metabolism	Chromosome-associated proteins	NI			
MXAN3841	segregation and condensation protein A	scpA	DNA metabolism	Chromosome-associated proteins	not reg			
MXAN4901	chromosome segregation protein SMC	smc	DNA metabolism	Chromosome-associated proteins	not reg			
MXAN0335	5'-3' exonuclease family protein		DNA metabolism	Degradation of DNA	not reg			
MXAN0570	thermonuclease family protein		DNA metabolism	Degradation of DNA	not reg			
MXAN2418	putative endonuclease		DNA metabolism	Degradation of DNA	not reg			
MXAN4646	"exodeoxyribonuclease VII, small subunit"	xseB	DNA metabolism	Degradation of DNA	not reg			
MXAN4647	"exodeoxyribonuclease VII, large subunit"	xseA	DNA metabolism	Degradation of DNA	not reg			
MXAN6835	putative deoxyribonuclease I-like protein		DNA metabolism	Degradation of DNA	not reg			
MXAN3596	"integration host factor, alpha subunit"	ihfA	DNA metabolism	"DNA replication, recombination, and repair"	down			
MXAN5637	"DNA ligase, NAD-dependent"	ligA	DNA metabolism	"DNA replication, recombination, and repair"	down			
MXAN1388	recA protein	recA	DNA metabolism	"DNA replication, recombination, and repair"	NI			
MXAN1428	primosomal protein N'	priA	DNA metabolism	"DNA replication, recombination, and repair"	NI			
MXAN1431	endonuclease III	nth	DNA metabolism	"DNA replication, recombination, and repair"	NI			
MXAN1438	putative competence/damage-inducible protein CinA		DNA metabolism	"DNA replication, recombination, and repair"	NI			
MXAN1441	recA protein	recA	DNA metabolism	"DNA replication, recombination, and repair"	NI			
MXAN0001	chromosomal replication initiator protein DnaA	dnaA	DNA metabolism	"DNA replication, recombination, and repair"	not reg			
MXAN0236	"DNA polymerase III, beta subunit"	dnaN	DNA metabolism	"DNA replication, recombination, and repair"	not reg			
MXAN0246	DNA replication and repair protein RecF	recF	DNA metabolism	"DNA replication, recombination, and repair"	not reg			
MXAN0264	"DNA gyrase, B subunit"	gyrB	DNA metabolism	"DNA replication, recombination, and repair"	not reg			
MXAN0535	"DNA topoisomerase III/ATP-dependent DNA helicase, RecQ family"	topB	DNA metabolism	"DNA replication, recombination, and repair"	not reg			
MXAN0615	DNA ligase		DNA metabolism	"DNA replication, recombination, and repair"	not reg			
MXAN0760	uracil-DNA glycosylase	ung	DNA metabolism	"DNA replication, recombination, and repair"	not reg			
MXAN0959	"nuclease SbcCD, C subunit"	sbcC	DNA metabolism	"DNA replication, recombination, and repair"	not reg			
MXAN1013	transcription-repair coupling factor	mfd	DNA metabolism	"DNA replication, recombination, and repair"	not reg			
MXAN1071	single-strand binding protein	ssb	DNA metabolism	"DNA replication, recombination, and repair"	not reg			
MXAN1256	DNA repair protein RadA	radA	DNA metabolism	"DNA replication, recombination, and repair"	not reg			
MXAN1516	ATP-dependent DNA helicase PcrA	pcrA	DNA metabolism	"DNA replication, recombination, and repair"	not reg			
MXAN1620	putative DNA polymerase II		DNA metabolism	"DNA replication, recombination, and repair"	not reg			
MXAN1873	"site-specific recombinase, phage integrase family"		DNA metabolism	"DNA replication, recombination, and repair"	not reg			
MXAN1930	recombination protein RecR	recR	DNA metabolism	"DNA replication, recombination, and repair"	not reg			
MXAN1933	"DNA polymerase III, gamma and tau subunits, truncated"		DNA metabolism	"DNA replication, recombination, and repair"	not reg			
MXAN1950	"ATP-dependent DNA helicase, RecQ family"		DNA metabolism	"DNA replication, recombination, and repair"	not reg			
MXAN1952	DNA repair protein RadC	radC	DNA metabolism	"DNA replication, recombination, and repair"	not reg			
MXAN1976	A/G-specific adenine glycosylase	mutY	DNA metabolism	"DNA replication, recombination, and repair"	not reg			
